category,datetime,headline,id,image,related,source,summary,url
company,1770163200,Alphabet And Amazon Earnings Previews: What's Happening To Margins?,138350036,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1503371245/image_1503371245.jpg?io=getty-c-w1536,GOOGL,SeekingAlpha,"According to Visible Alpha consensus, Alphabet Inc.'s total revenues expected for Q4 2025 have increased to $111.4 billion from $108.8 billion last quarter.",https://finnhub.io/api/news?id=be54da579e39a845126ccd0175df96c46abfb0fafb980b91dc61e3004b7282cb
company,1770162346,"Stock market today: S&P 500, Nasdaq futures fall after AI-fueled sell-off, with Google earnings on deck",138351934,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOGL,Yahoo,Wall Street is seeing investors turn away from AI darlings toward safer investments after a rout in the sector led to losses across major gauges.,https://finnhub.io/api/news?id=cb957f0d507d754e358bf8a71ae5df9817a2c9bb261c9765add9c133237806c5
company,1770162346,"Stock market today: Dow, S&P 500, Nasdaq futures rise ahead of Google earnings",138351246,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOGL,Yahoo,Wall Street is seeing investors turn away from AI darlings toward safer investments after a rout in the sector led to losses across major gauges.,https://finnhub.io/api/news?id=41f6bae84457b6dfabac244c9e20d67aabec00cab1c9c97e9456ad878475f0d3
company,1770162346,"Stock market today: Dow, S&P 500, Nasdaq futures mostly slip as AMD's slide adds to AI malaise ahead of Google earnings",138348095,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOGL,Yahoo,Wall Street is seeing investors turn away from AI darlings toward safer investments after a rout in the sector led to losses across major gauges.,https://finnhub.io/api/news?id=322a3e34186a34d5879397b4e687fae8922e97178aee23b60c06ea326eefaf39
company,1770160802,"Lumbard Kellner Loads Up UiPath With 224,000 Shares Bought",138348139,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOGL,Yahoo,"UiPath delivers automation software and AI-driven solutions to enterprise clients across banking, healthcare, and government sectors.",https://finnhub.io/api/news?id=4effd17030a97629431666bb8fae574c02c94ea4d0e4411a93c52e66aaed9aba
company,1770158943,Tracking AMG's Yacktman Asset Management Portfolio - Q4 2025 Update,138349690,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/186805810/image_186805810.jpg?io=getty-c-w1536,GOOGL,SeekingAlpha,"Yacktman Asset Managementâs Q4 2025 13F: top holdings, key trims (CNQ, CTSH, STT, WBD) and new EWY stakeâsee portfolio moves now.",https://finnhub.io/api/news?id=c3d00a94f9edf09480d54dde61e8e7b9660082ba5f1582705b7fa28bbfde7fd2
company,1770157500,Alphabet Q4 Earnings Preview: Can AI And Cloud Momentum Sustain The $4 Trillion Valuation?,138349554,,GOOGL,SeekingAlpha,,https://finnhub.io/api/news?id=1834e5043fa6b9ef9c705625e1e3a5171d687f7b701675033f50ba3c29800aca
company,1770156559,Looking At The Apple AAPL Narrative After Gemini Deal And Margin Concerns,138348113,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOGL,Yahoo,"The latest update on Apple’s stock story includes a small lift in fair value, from US$286.58 to US$291.65 per share, alongside a slightly higher discount rate at 8.31% and more conservative long run revenue growth assumptions at 6.99%. Those tweaks sit against a backdrop of ongoing debate about the pace of services growth and how the Google Gemini partnership and memory costs could shape Apple’s financial profile over time. Read on to see how these shifting assumptions relate to the broader...",https://finnhub.io/api/news?id=14addafb2ea7db135b877e10216eed5a2e9b3cc2080d84cd0ba47d08a7b652ca
company,1770156540,Software and Legal Services Get Crushed. AI Panic Hits the Market.,138348104,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOGL,Yahoo,Worries that Anthropic’s Claude is targeting the legal profession led to another software slump and broader market slide.,https://finnhub.io/api/news?id=f6242f8d5f0cc6cc911c4c7f25b70b609a1c36250dbd30c3f6a06be7854f5156
company,1770156266,"Nasdaq, S&P 500 Log Worst Day in 2 Weeks Amid Tech Sell-Off",138348105,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOGL,Yahoo,The Nasdaq Composite and the S&P 500 fell the most in two weeks on Tuesday as investors dumped techn,https://finnhub.io/api/news?id=aa9659769647f2e1bbbc0971e85009425246b293424d3accbc908822cbaaea70
