category,datetime,headline,id,image,related,source,summary,url
company,1770162297,Match Group (MTCH) Q4 2025 Earnings Transcript,138348383,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MTCH,Yahoo,"Just one year ago, I became CEO of Match Group.  Prioritize user outcomes to rebuild trust and position Match Group to lead the next chapter of human connection.  Given Tinder's scale and importance, I also took direct ownership of its turnaround.",https://finnhub.io/api/news?id=5ab74058cf1bb55a8965d4296f5d8ef46c5125a07ebdd28f81d36d7f8f333809
company,1770160682,"Match Group: Tinder Is Bleeding Users, And Hinge Growth Slows",138349893,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1291370255/image_1291370255.jpg?io=getty-c-w1536,MTCH,SeekingAlpha,Match Group remains a weak investment after its Q4 earnings showcased weaker-than-usual seasonality. Learn why MTCH stock is a Sell.,https://finnhub.io/api/news?id=9dc2d084f7024c533a47adbbf4988552bdd01fb6c18ecc8c7495680b78b1a925
company,1770157503,Match Group (MTCH) Surpasses Q4 Earnings and Revenue Estimates,138348384,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MTCH,Yahoo,"Match Group (MTCH) delivered earnings and revenue surprises of +5.37% and +0.74%, respectively, for the quarter ended December 2025. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=0131a7584a328221fbd7a492e5b97c609d5d64911fbcb60c487e4b207156cbc7
company,1770155543,Match Group: Q4 Earnings Snapshot,138347424,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MTCH,Yahoo,"The average estimate of five analysts surveyed by Zacks Investment Research was for earnings of $1.01 per share. The media and internet company posted revenue of $878 million in the period, which also beat Street forecasts. Seven analysts surveyed by Zacks expected $871.6 million.",https://finnhub.io/api/news?id=7b0e7a8721c00c7ba5eb10cf44067ad4d2af808111b383c32b95c319139255ad
company,1770154851,"Match Group’s (NASDAQ:MTCH) Q4 CY2025 Sales Beat Estimates, Stock Soars",138347425,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MTCH,Yahoo,"Dating app company Match (NASDAQ:MTCH) reported Q4 CY2025 results beating Wall Street’s revenue expectations, with sales up 2.1% year on year to $878 million. The company expects next quarter’s revenue to be around $855 million, close to analysts’ estimates. Its GAAP profit of $0.83 per share was 17.3% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=571a7353fcbedd22e5afbcab3e3d67dcd62416a631dc4e1e290b595c7573d7eb
company,1770153263,Match Group forecasts upbeat revenue as turnaround gains traction,138347426,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MTCH,Yahoo,"Match has stepped up investments across its portfolio, with the heaviest focus on flagship brands Tinder and Hinge, rolling out AI-driven tools to strengthen ⁠safety, credibility and trust. Recent ‌product updates include new ""chemistry"" feature for authentic interactions, alongside face-verification tools aimed at cutting down impersonation and bad actors. The ‍paying users for the fourth quarter fell 5% to 13.8 million, with the company flagging near-term pressure as it tweaks products to improve longer-term outcomes.",https://finnhub.io/api/news?id=4b3e7d225a34510403324870954f43e7d266a9edb85e0709cd09fcbd0ff1d5a2
company,1770153060,Match Group Announces Fourth Quarter and Full-Year Results,138347427,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MTCH,Yahoo,"Match Group (NASDAQ: MTCH) today announced financial results for the fourth quarter and full-year ended December 31, 2025, highlighting continued progress towards its strategic transformation, with early signs of improved engagement from product initiatives. In Q4, the company exceeded its revenue and Adjusted EBITDA expectations. For the full year 2025, Match Group achieved its revenue and margin goals, excluding the discrete items1 called out in prior quarters, and deployed 108% of free cash f",https://finnhub.io/api/news?id=351227bbbf65af1f7eedca4c20663219a68b916cc42e454ddd3a8c9a2ae959f0
company,1770151800,Harbor Core Bond Fund Q4 2025 Commentary,138349299,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2234102068/image_2234102068.jpg?io=getty-c-w1536,MTCH,SeekingAlpha,Explore the Harbor Core Bond Fund Q4 2025 performance and market outlook. Read our full report to see how we navigate current volatility and rate changes.,https://finnhub.io/api/news?id=7007a1d2f415f3147f3045d8687bcfdbded52d4131ae36a09e3a449e180e79fb
company,1770149428,"Match Group, Inc. (MTCH) Q4 2025 Earnings Call Transcript",138348824,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,MTCH,SeekingAlpha,"Match Group, Inc. (MTCH) Q4 2025 Earnings Call February 3, 2026 5:00 PM ESTCompany ParticipantsTanny Shelburne - Senior Vice President of Investor...",https://finnhub.io/api/news?id=23fb0689679ad053116a56b873f79d6acc9ca4142e6e8d86b4665a89e63717e7
company,1770149420,PURE’s Gen Z Surge Puts Match Group’s Engagement And Valuation In Focus,138347428,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MTCH,Yahoo,"PURE, a Gen Z focused dating app, reported rapid user and revenue growth in early 2025. At the same time, Match Group's flagship apps Tinder and Hinge saw significant declines in engagement. The shift in user activity toward alternative platforms raises fresh questions for NasdaqGS:MTCH on future user acquisition and market share. For investors watching NasdaqGS:MTCH, the emergence of PURE comes as the stock trades around $31.54, with a 1 year return of an 8.8% decline and a 3 year return...",https://finnhub.io/api/news?id=51e367d4150617b8985df23559a6785e6f076f4b66584677335ccfe8d7434b4a
